"Year","Country","Patents","Country Name","NeonatalRate","Lifeexpectancy","InfantMortality"
1990,"AU",15,"Australia",4.6,76.99463415,7.6
1990,"BE",37,"Belgium",4.6,76.05195122,8.3
1990,"CA",62,"Canada",4.4,77.42195122,6.8
1990,"CH",101,"Switzerland",3.9,77.24243902,6.6
1990,"DE",435,"Germany",3.4,75.2277561,7
1990,"DK",31,"Denmark",4.4,74.80536585,7.4
1990,"FI",11,"Finland",3.9,74.81317073,5.5
1990,"FR",203,"France",3.6,76.6,7.4
1990,"GB",278,"United Kingdom",4.5,75.8804878,7.9
1990,"IE",7,"Ireland",4.7,74.80909756,7.6
1990,"IL",24,"Israel",6.3,76.60731707,9.7
1990,"IT",110,"Italy",6.4,76.97073171,8.4
1990,"JP",682,"Japan",2.5,78.83682927,4.6
1990,"NL",29,"Netherlands",4.6,76.87804878,6.8
1990,"NO",6,"Norway",4,76.53731707,7
1990,"NZ",3,"New Zealand",4.3,75.37804878,9.2
1990,"SE",28,"Sweden",3.5,77.53682927,5.9
1990,"SG",0,"Singapore",4.1,75.29512195,6.1
1990,"SK",0,"Slovak Republic",8.7,70.93268293,12.6
1990,"US",2308,"United States",5.8,75.21463415,9.4
1991,"AU",28,"Australia",4.4,77.27560976,7.1
1991,"BE",35,"Belgium",4.4,76.19219512,8.1
1991,"CA",92,"Canada",4.3,77.62195122,6.6
1991,"CH",93,"Switzerland",3.8,77.51463415,6.4
1991,"DE",390,"Germany",3.5,75.3195122,6.6
1991,"DK",37,"Denmark",4.2,75.15780488,7
1991,"FI",9,"Finland",3.7,75.22756098,5.3
1991,"FR",222,"France",3.4,76.84878049,7.1
1991,"GB",304,"United Kingdom",4.4,76.08292683,7.4
1991,"IE",5,"Ireland",4.6,75.00526829,7.2
1991,"IL",28,"Israel",5.9,76.75853659,9.2
1991,"IT",114,"Italy",6.1,77.0195122,8
1991,"JP",677,"Japan",2.5,79.10073171,4.5
1991,"NL",38,"Netherlands",4.5,77,6.6
1991,"NO",12,"Norway",3.8,76.98073171,6.4
1991,"NZ",0,"New Zealand",4.2,76.03170732,8.7
1991,"SE",31,"Sweden",3.4,77.66682927,5.6
1991,"SG",0,"Singapore",3.6,75.64634146,5.5
1991,"SK",0,"Slovak Republic",8.4,70.88292683,12.1
1991,"US",2605,"United States",5.6,75.36585366,9.1
1992,"AU",22,"Australia",4.2,77.37804878,6.7
1992,"BE",28,"Belgium",4.2,76.35121951,7.7
1992,"CA",90,"Canada",4.2,77.72439024,6.4
1992,"CH",95,"Switzerland",3.7,77.80609756,6.1
1992,"DE",447,"Germany",3.5,75.8195122,6.2
1992,"DK",38,"Denmark",4.1,75.19414634,6.5
1992,"FI",19,"Finland",3.6,75.45536585,5
1992,"FR",239,"France",3.2,77.1,6.7
1992,"GB",256,"United Kingdom",4.4,76.43414634,6.9
1992,"IE",5,"Ireland",4.5,75.18095122,6.8
1992,"IL",39,"Israel",5.5,76.50487805,8.7
1992,"IT",102,"Italy",5.7,77.4195122,7.7
1992,"JP",774,"Japan",2.4,79.15390244,4.4
1992,"NL",44,"Netherlands",4.4,77.21707317,6.3
1992,"NO",8,"Norway",3.6,77.18439024,5.9
1992,"NZ",2,"New Zealand",4,76.12439024,8.2
1992,"SE",31,"Sweden",3.2,77.99878049,5.2
1992,"SG",0,"Singapore",3.1,75.94634146,5
1992,"SK",0,"Slovak Republic",8.1,71.79512195,11.6
1992,"US",2778,"United States",5.4,75.61707317,8.8
1993,"AU",30,"Australia",4,77.87804878,6.3
1993,"BE",37,"Belgium",4.1,76.34536585,7.3
1993,"CA",117,"Canada",4.1,77.82439024,6.2
1993,"CH",108,"Switzerland",3.6,78.08536585,5.8
1993,"DE",383,"Germany",3.3,75.87073171,5.8
1993,"DK",45,"Denmark",4,75.11682927,6.1
1993,"FI",11,"Finland",3.4,75.70512195,4.8
1993,"FR",276,"France",3.1,77.3,6.2
1993,"GB",293,"United Kingdom",4.3,76.38536585,6.6
1993,"IE",5,"Ireland",4.4,75.33612195,6.4
1993,"IL",43,"Israel",5.1,77.15365854,8.2
1993,"IT",119,"Italy",5.3,77.72195122,7.3
1993,"JP",835,"Japan",2.3,79.29365854,4.4
