"Country","Country Code","Year","Rate"
"Australia","AU","1990",76.99463415
"Belgium","BE","1990",76.05195122
"Canada","CA","1990",77.42195122
"Switzerland","CH","1990",77.24243902
"Germany","DE","1990",75.2277561
"Denmark","DK","1990",74.80536585
"Finland","FI","1990",74.81317073
"France","FR","1990",76.6
"United Kingdom","GB","1990",75.8804878
"Ireland","IE","1990",74.80909756
"Israel","IL","1990",76.60731707
"Italy","IT","1990",76.97073171
"Japan","JP","1990",78.83682927
"Netherlands","NL","1990",76.87804878
"Norway","NO","1990",76.53731707
"New Zealand","NZ","1990",75.37804878
"Singapore","SG","1990",75.29512195
"Slovak Republic","SK","1990",70.93268293
"Sweden","SE","1990",77.53682927
"United States","US","1990",75.21463415
"Australia","AU","1991",77.27560976
"Belgium","BE","1991",76.19219512
"Canada","CA","1991",77.62195122
"Switzerland","CH","1991",77.51463415
"Germany","DE","1991",75.3195122
"Denmark","DK","1991",75.15780488
"Finland","FI","1991",75.22756098
"France","FR","1991",76.84878049
"United Kingdom","GB","1991",76.08292683
"Ireland","IE","1991",75.00526829
"Israel","IL","1991",76.75853659
"Italy","IT","1991",77.0195122
"Japan","JP","1991",79.10073171
"Netherlands","NL","1991",77
"Norway","NO","1991",76.98073171
"New Zealand","NZ","1991",76.03170732
"Singapore","SG","1991",75.64634146
"Slovak Republic","SK","1991",70.88292683
"Sweden","SE","1991",77.66682927
"United States","US","1991",75.36585366
"Australia","AU","1992",77.37804878
"Belgium","BE","1992",76.35121951
"Canada","CA","1992",77.72439024
"Switzerland","CH","1992",77.80609756
"Germany","DE","1992",75.8195122
"Denmark","DK","1992",75.19414634
"Finland","FI","1992",75.45536585
"France","FR","1992",77.1
"United Kingdom","GB","1992",76.43414634
"Ireland","IE","1992",75.18095122
"Israel","IL","1992",76.50487805
"Italy","IT","1992",77.4195122
"Japan","JP","1992",79.15390244
"Netherlands","NL","1992",77.21707317
"Norway","NO","1992",77.18439024
"New Zealand","NZ","1992",76.12439024
"Singapore","SG","1992",75.94634146
"Slovak Republic","SK","1992",71.79512195
"Sweden","SE","1992",77.99878049
"United States","US","1992",75.61707317
"Australia","AU","1993",77.87804878
"Belgium","BE","1993",76.34536585
"Canada","CA","1993",77.82439024
"Switzerland","CH","1993",78.08536585
"Germany","DE","1993",75.87073171
"Denmark","DK","1993",75.11682927
"Finland","FI","1993",75.70512195
"France","FR","1993",77.3
"United Kingdom","GB","1993",76.38536585
"Ireland","IE","1993",75.33612195
"Israel","IL","1993",77.15365854
"Italy","IT","1993",77.72195122
"Japan","JP","1993",79.29365854
"Netherlands","NL","1993",76.91658537
"Norway","NO","1993",77.15170732
"New Zealand","NZ","1993",76.43414634
"Singapore","SG","1993",76.04634146
"Slovak Republic","SK","1993",72.44878049
"Sweden","SE","1993",78.0604878
"United States","US","1993",75.4195122
"Australia","AU","1994",77.87804878
"Belgium","BE","1994",76.69170732
"Canada","CA","1994",77.82682927
"Switzerland","CH","1994",78.35
"Germany","DE","1994",76.27073171
"Denmark","DK","1994",75.37512195
"Finland","FI","1994",76.39560976
"France","FR","1994",77.64878049
"United Kingdom","GB","1994",76.88536585
"Ireland","IE","1994",75.47680488
"Israel","IL","1994",77.40243902
"Italy","IT","1994",77.92195122
"Japan","JP","1994",79.68707317
"Netherlands","NL","1994",77.37512195
"Norway","NO","1994",77.6897561
"New Zealand","NZ","1994",76.88292683
"Singapore","SG","1994",76.19756098
"Slovak Republic","SK","1994",72.3
"Sweden","SE","1994",78.6502439
"United States","US","1994",75.6195122
"Australia","AU","1995",77.82926829
"Belgium","BE","1995",76.84073171
"Canada","CA","1995",78.02926829
"Switzerland","CH","1995",78.41707317
"Germany","DE","1995",76.42195122
"Denmark","DK","1995",75.21268293
"Finland","FI","1995",76.4095122
"France","FR","1995",77.75121951
"United Kingdom","GB","1995",76.83658537
"Ireland","IE","1995",75.61756098
"Israel","IL","1995",77.45121951
"Italy","IT","1995",78.17073171
"Japan","JP","1995",79.53634146
"Netherlands","NL","1995",77.40463415
"Norway","NO","1995",77.73658537
"New Zealand","NZ","1995",76.73414634
"Singapore","SG","1995",76.29512195
