"Country","Country Code","Year","Rate"
"Australia","AU","1990",4.6
"Belgium","BE","1990",4.6
"Canada","CA","1990",4.4
"Switzerland","CH","1990",3.9
"Germany","DE","1990",3.4
"Denmark","DK","1990",4.4
"Finland","FI","1990",3.9
"France","FR","1990",3.6
"United Kingdom","GB","1990",4.5
"Ireland","IE","1990",4.7
"Israel","IL","1990",6.3
"Italy","IT","1990",6.4
"Japan","JP","1990",2.5
"Netherlands","NL","1990",4.6
"Norway","NO","1990",4
"New Zealand","NZ","1990",4.3
"Singapore","SG","1990",4.1
"Slovak Republic","SK","1990",8.7
"Sweden","SE","1990",3.5
"United States","US","1990",5.8
"Australia","AU","1991",4.4
"Belgium","BE","1991",4.4
"Canada","CA","1991",4.3
"Switzerland","CH","1991",3.8
"Germany","DE","1991",3.5
"Denmark","DK","1991",4.2
"Finland","FI","1991",3.7
"France","FR","1991",3.4
"United Kingdom","GB","1991",4.4
"Ireland","IE","1991",4.6
"Israel","IL","1991",5.9
"Italy","IT","1991",6.1
"Japan","JP","1991",2.5
"Netherlands","NL","1991",4.5
"Norway","NO","1991",3.8
"New Zealand","NZ","1991",4.2
"Singapore","SG","1991",3.6
"Slovak Republic","SK","1991",8.4
"Sweden","SE","1991",3.4
"United States","US","1991",5.6
"Australia","AU","1992",4.2
"Belgium","BE","1992",4.2
"Canada","CA","1992",4.2
"Switzerland","CH","1992",3.7
"Germany","DE","1992",3.5
"Denmark","DK","1992",4.1
"Finland","FI","1992",3.6
"France","FR","1992",3.2
"United Kingdom","GB","1992",4.4
"Ireland","IE","1992",4.5
"Israel","IL","1992",5.5
"Italy","IT","1992",5.7
"Japan","JP","1992",2.4
"Netherlands","NL","1992",4.4
"Norway","NO","1992",3.6
"New Zealand","NZ","1992",4
"Singapore","SG","1992",3.1
"Slovak Republic","SK","1992",8.1
"Sweden","SE","1992",3.2
"United States","US","1992",5.4
"Australia","AU","1993",4
"Belgium","BE","1993",4.1
"Canada","CA","1993",4.1
"Switzerland","CH","1993",3.6
"Germany","DE","1993",3.3
"Denmark","DK","1993",4
"Finland","FI","1993",3.4
"France","FR","1993",3.1
"United Kingdom","GB","1993",4.3
"Ireland","IE","1993",4.4
"Israel","IL","1993",5.1
"Italy","IT","1993",5.3
"Japan","JP","1993",2.3
"Netherlands","NL","1993",4.2
"Norway","NO","1993",3.4
"New Zealand","NZ","1993",3.8
"Singapore","SG","1993",2.7
"Slovak Republic","SK","1993",7.8
"Sweden","SE","1993",3.1
"United States","US","1993",5.3
"Australia","AU","1994",3.9
"Belgium","BE","1994",3.9
"Canada","CA","1994",4.1
"Switzerland","CH","1994",3.5
"Germany","DE","1994",3.2
"Denmark","DK","1994",3.9
"Finland","FI","1994",3.2
"France","FR","1994",3.1
"United Kingdom","GB","1994",4.2
"Ireland","IE","1994",4.3
"Israel","IL","1994",4.7
"Italy","IT","1994",5
"Japan","JP","1994",2.3
"Netherlands","NL","1994",4
"Norway","NO","1994",3.2
"New Zealand","NZ","1994",3.6
"Singapore","SG","1994",2.4
"Slovak Republic","SK","1994",7.5
"Sweden","SE","1994",2.9
"United States","US","1994",5.1
"Australia","AU","1995",3.7
"Belgium","BE","1995",3.8
"Canada","CA","1995",4.1
"Switzerland","CH","1995",3.4
"Germany","DE","1995",3.1
"Denmark","DK","1995",3.9
"Finland","FI","1995",3.1
"France","FR","1995",3.1
"United Kingdom","GB","1995",4.1
"Ireland","IE","1995",4.2
"Israel","IL","1995",4.5
"Italy","IT","1995",4.7
"Japan","JP","1995",2.2
"Netherlands","NL","1995",3.8
"Norway","NO","1995",3.1
"New Zealand","NZ","1995",3.5
"Singapore","SG","1995",2.2
"Slovak Republic","SK","1995",7.1
"Sweden","SE","1995",2.7
"United States","US","1995",5
"Australia","AU","1996",3.7
"Belgium","BE","1996",3.6
"Canada","CA","1996",4
"Switzerland","CH","1996",3.4
"Germany","DE","1996",3
"Denmark","DK","1996",3.8
"Finland","FI","1996",2.9
"France","FR","1996",3.1
"United Kingdom","GB","1996",4
