"Country","Country Code","Year","Rate"
"Afghanistan","AF","1990",120.4
"Bangladesh","BD","1990",99.7
"Bhutan","BT","1990",89.1
"China","CN","1990",42.1
"Cameroon","CM","1990",84.4
"India","IN","1990",88.6
"Kenya","KE","1990",64.8
"Cambodia","KH","1990",84.7
"Kuwait","KW","1990",15
"Lebanon","LB","1990",26.6
"Libya","LY","1990",35.6
"Madagascar","MG","1990",96.2
"Namibia","NA","1990",48.7
"Nigeria","NG","1990",124.3
"Nepal","NP","1990",97.1
"Pakistan","PK","1990",106.7
"Papua New Guinea","PG","1990",62.2
"Syrian Arab Republic","SY","1990",29.9
"Uganda","UG","1990",106.8
"Zimbabwe","ZW","1990",49.5
"Afghanistan","AF","1991",116.8
"Bangladesh","BD","1991",95.9
"Bhutan","BT","1991",85.6
"China","CN","1991",41.7
"Cameroon","CM","1991",85.2
"India","IN","1991",86.4
"Kenya","KE","1991",66.1
"Cambodia","KH","1991",84.7
"Kuwait","KW","1991",14.8
"Lebanon","LB","1991",25.5
"Libya","LY","1991",33.8
"Madagascar","MG","1991",93.4
"Namibia","NA","1991",47.7
"Nigeria","NG","1991",124
"Nepal","NP","1991",92.7
"Pakistan","PK","1991",104.7
"Papua New Guinea","PG","1991",61.2
"Syrian Arab Republic","SY","1991",28.9
"Uganda","UG","1991",104.4
"Zimbabwe","ZW","1991",50.4
"Afghanistan","AF","1992",113.3
"Bangladesh","BD","1992",92.2
"Bhutan","BT","1992",82.2
"China","CN","1992",41.1
"Cameroon","CM","1992",86.4
"India","IN","1992",84.3
"Kenya","KE","1992",67.2
"Cambodia","KH","1992",84.8
"Kuwait","KW","1992",13.6
"Lebanon","LB","1992",24.4
"Libya","LY","1992",32.3
"Madagascar","MG","1992",90.7
"Namibia","NA","1992",46.8
"Nigeria","NG","1992",123.7
"Nepal","NP","1992",88.4
"Pakistan","PK","1992",102.7
"Papua New Guinea","PG","1992",60.1
"Syrian Arab Republic","SY","1992",27.8
"Uganda","UG","1992",102.1
"Zimbabwe","ZW","1992",51.6
"Afghanistan","AF","1993",109.9
"Bangladesh","BD","1993",88.4
"Bhutan","BT","1993",78.9
"China","CN","1993",40.1
"Cameroon","CM","1993",87.8
"India","IN","1993",82.2
"Kenya","KE","1993",67.9
"Cambodia","KH","1993",85.3
"Kuwait","KW","1993",13.1
"Lebanon","LB","1993",23.4
"Libya","LY","1993",30.8
"Madagascar","MG","1993",88.1
"Namibia","NA","1993",46.3
"Nigeria","NG","1993",123.1
"Nepal","NP","1993",84.3
"Pakistan","PK","1993",100.6
"Papua New Guinea","PG","1993",59.1
"Syrian Arab Republic","SY","1993",26.6
"Uganda","UG","1993",100.1
"Zimbabwe","ZW","1993",53
"Afghanistan","AF","1994",106.7
"Bangladesh","BD","1994",84.7
