"Country","Country Code","Year","Rate"
"Afghanistan","AF","1990",74.3
"Bangladesh","BD","1990",64.2
"Bhutan","BT","1990",42.1
"China","CN","1990",29.6
"Cameroon","CM","1990",40.2
"India","IN","1990",57.4
"Kenya","KE","1990",27.6
"Cambodia","KH","1990",40.1
"Kuwait","KW","1990",10.4
"Lebanon","LB","1990",20.5
"Libya","LY","1990",20.9
"Madagascar","MG","1990",39
"Namibia","NA","1990",27.8
"Nigeria","NG","1990",49.7
"Nepal","NP","1990",58.4
"Pakistan","PK","1990",64.1
"Papua New Guinea","PG","1990",33.6
"Syrian Arab Republic","SY","1990",16.2
"Uganda","UG","1990",38.8
"Zimbabwe","ZW","1990",24.6
"Afghanistan","AF","1991",72.9
"Bangladesh","BD","1991",62.1
"Bhutan","BT","1991",41.1
"China","CN","1991",29.5
"Cameroon","CM","1991",40
"India","IN","1991",56.1
"Kenya","KE","1991",27.5
"Cambodia","KH","1991",39.7
"Kuwait","KW","1991",9.9
"Lebanon","LB","1991",19.5
"Libya","LY","1991",20.4
"Madagascar","MG","1991",38.3
"Namibia","NA","1991",27.3
"Nigeria","NG","1991",49.7
"Nepal","NP","1991",56.3
"Pakistan","PK","1991",63.9
"Papua New Guinea","PG","1991",33.6
"Syrian Arab Republic","SY","1991",15.8
"Uganda","UG","1991",37.7
"Zimbabwe","ZW","1991",24.4
"Afghanistan","AF","1992",71.4
"Bangladesh","BD","1992",59.8
"Bhutan","BT","1992",40.1
"China","CN","1992",29.1
"Cameroon","CM","1992",39.9
"India","IN","1992",54.9
"Kenya","KE","1992",27.5
"Cambodia","KH","1992",39.4
"Kuwait","KW","1992",9.3
"Lebanon","LB","1992",18.5
"Libya","LY","1992",19.8
"Madagascar","MG","1992",37.7
"Namibia","NA","1992",26.7
"Nigeria","NG","1992",49.8
"Nepal","NP","1992",54.3
"Pakistan","PK","1992",63.7
"Papua New Guinea","PG","1992",33.6
"Syrian Arab Republic","SY","1992",15.4
"Uganda","UG","1992",36.6
"Zimbabwe","ZW","1992",24.4
"Afghanistan","AF","1993",69.9
"Bangladesh","BD","1993",57.5
"Bhutan","BT","1993",39
"China","CN","1993",28.5
"Cameroon","CM","1993",39.7
"India","IN","1993",53.8
"Kenya","KE","1993",27.5
"Cambodia","KH","1993",39.2
